Distance [m];Packet RSSI [dBm];RSSI [dBm];SNR [dB];Power level [dBm];SF;BW [kHz];Freq [MHz];CR;Lat;Long;Speed [km/h]
100;-117;-104;-11;20;12;62.5;868.1;'4/5';56.467578;9.985745;14.8
100;-119;-105;-13;20;12;62.5;868.1;'4/5';56.467590;9.985668;0.4
100;-118;-105;-15;20;12;62.5;868.1;'4/5';56.467595;9.985662;0.0
100;-118;-105;-14;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-118;-102;-11;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-117;-105;-10;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-119;-108;-12;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-118;-106;-13;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-119;-103;-17;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-118;-103;-15;20;12;62.5;868.1;'4/5';56.467595;9.985670;0.0
100;-117;-103;-14;20;12;62.5;868.1;'4/5';56.467605;9.985657;4.9
100;-117;-104;-15;20;12;62.5;868.1;'4/5';56.467622;9.985533;20.0
100;-112;-104;-18;20;12;62.5;868.1;'4/5';56.467668;9.985062;29.1
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.467695;9.984812;25.9
100;-119;-103;-16;20;12;62.5;868.1;'4/5';56.467717;9.984610;20.4
100;-118;-107;-14;20;12;62.5;868.1;'4/5';56.467733;9.984455;14.6
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.467742;9.984332;0.0
100;-117;-105;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-108;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-103;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-118;-104;-15;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-105;-15;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-118;-102;-14;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-116;-104;-10;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-116;-104;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-116;-102;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-103;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-104;-11;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-103;-12;20;12;62.5;868.1;'4/5';56.467737;9.984335;0.0
100;-117;-105;-15;20;12;62.5;868.1;'4/5';56.467708;9.984078;20.2
100;-116;-106;-9;20;12;62.5;868.1;'4/5';56.467612;9.983958;27.2
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.467448;9.983978;37.2
100;-118;-105;-17;20;12;62.5;868.1;'4/5';56.466935;9.984322;67.8
100;-119;-103;-16;20;12;62.5;868.1;'4/5';56.464488;9.985602;91.5
100;-112;-104;-16;20;12;62.5;868.1;'4/5';56.458975;9.988292;97.2
100;-111;-103;-11;20;12;62.5;868.1;'4/5';56.458140;9.989067;92.4
100;-114;-104;-2;20;12;62.5;868.1;'4/5';56.457745;9.989480;90.4
100;-116;-105;-8;20;12;62.5;868.1;'4/5';56.457358;9.989915;90.6
100;-115;-104;-6;20;12;62.5;868.1;'4/5';56.456982;9.990372;90.6
100;-115;-102;-4;20;12;62.5;868.1;'4/5';56.456610;9.990838;90.4
100;-116;-103;-11;20;12;62.5;868.1;'4/5';56.456235;9.991312;90.4
100;-116;-102;-11;20;12;62.5;868.1;'4/5';56.455870;9.991788;89.3
100;-115;-105;-4;20;12;62.5;868.1;'4/5';56.455505;9.992268;89.3
100;-116;-104;-7;20;12;62.5;868.1;'4/5';56.455145;9.992747;89.1
100;-115;-104;-7;20;12;62.5;868.1;'4/5';56.454783;9.993222;88.9
100;-117;-104;-9;20;12;62.5;868.1;'4/5';56.454417;9.993700;88.9
100;-114;-103;-3;20;12;62.5;868.1;'4/5';56.454052;9.994182;90.4
100;-112;-103;1;20;12;62.5;868.1;'4/5';56.453685;9.994672;92.6
100;-114;-104;-2;20;12;62.5;868.1;'4/5';56.453315;9.995165;92.8
100;-115;-104;-5;20;12;62.5;868.1;'4/5';56.452947;9.995653;90.4
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.452578;9.996118;89.8
100;-113;-103;-17;20;12;62.5;868.1;'4/5';56.451280;9.997775;63.7
100;-117;-106;-14;20;12;62.5;868.1;'4/5';56.450842;9.998267;40.2
100;-118;-104;-15;20;12;62.5;868.1;'4/5';56.450678;9.998382;35.4
100;-118;-104;-12;20;12;62.5;868.1;'4/5';56.450535;9.998467;28.3
100;-117;-103;-11;20;12;62.5;868.1;'4/5';56.450432;9.998538;19.4
100;-117;-105;-13;20;12;62.5;868.1;'4/5';56.450382;9.998595;8.4
100;-117;-106;-10;20;12;62.5;868.1;'4/5';56.450380;9.998612;0.0
100;-117;-103;-8;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-104;-8;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-106;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-103;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-108;-11;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-106;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-104;-8;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-103;-10;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-105;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-119;-104;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-105;-11;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-105;-11;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-104;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-102;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-106;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-105;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-105;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-103;-11;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
